title|author|genre|tags|summary|media|publish|adult|thumbnail_small|thumbnail_big|link
히어로즈 플랜비|인디고,|SF,액션,|히어로,|인디고 작가의 틴에이저 히어로물 [내츄럴스]가 본격적인 스케일로 다시 돌아왔다. |레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/312/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/312/images/wide?width=1200|http://www.lezhin.com/ko/comic/planb
개화여자정보고등학교|그 이,|학원,|친구,여자,고교,생활,사랑,학교,짝사랑,고등학교,|갑자기 결정된 전학. 짝사랑을 뒤로한채 개화여자정보고등학교로 전학을 온 김호수. 인문계에서 상경계로 전학가며 만나는 새로운 과목들. 그리고 새로운 친구들. 개화여정에서 사귄 친구들과의 즐거운 고교생활|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/242/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/242/images/wide?width=1200|http://www.lezhin.com/ko/comic/girls_highschool
모멘텀|박지연,|BL,|영화,신,아이,마음,단편,|연기파 배우이자 유리벽장 게이인 루이는 친한 감독 아이젠으로부터 단편영화의 제의를 받는다. 그와 함께 3주간 함께할 상대 배우는 이름도 모르는 신인. 하지만 그의 열정적이고 달뜬 모습에 왠지 마음이 흔들리는데... 세련된 작화와 깊은 여운, 진중한 문장들이 돋보이는 웰메이드 BL 단편 모음집.|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/436/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/436/images/wide?width=1200|http://www.lezhin.com/ko/comic/momentum
우물에 잠긴 달|차지안,|로맨스,판타지,|인간,사랑,신,시절,|두 개의 해와 두 개의 달이 뜨던 시절. 진실한 사랑을 찾았던 인간, 그리고 신의 이야기.|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/169/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/169/images/wide?width=1200|http://www.lezhin.com/ko/comic/well_moon
신의 속도|IRE,|액션,스포츠,|상상,|천재에게 느끼는 열등감, 그리고 그것을 극복하려고 하는 범인, 상상을 초월하는 판타지 스포츠 액션물|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/227/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/227/images/wide?width=1200|http://www.lezhin.com/ko/comic/speed_of_god
지금은 가난중|토박,|드라마,일상,||적금통장 없는 프리랜서 만화가 영고와, 노후계획 없는 일러스트레이터 사리의 흙내나는 일상들. 지금은 가난중, 하지만 내일은…!|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/4809495052288000/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/4809495052288000/images/wide?width=1200|http://www.lezhin.com/ko/comic/poordirtspoon
S-좀비|신상,|개그,성인,|세계,세상,|어느 날, 원인 불명의 좀비바이러스가 전세계에 퍼지게 되는데... 좀비에게 물린 뒤에 흥분하면 성적 욕망만을 추구하는 좀비가 되어 버린다. 물리지 말아라!! 흥분하지도 말아라!! 절망에 빠진 세상 속에서 과연 살아남을 수 있을 것인가!!|레진코믹스|1|1|http://ncdn.lezhin.com/v2/comics/6102426272137216/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/6102426272137216/images/wide?width=1200|http://www.lezhin.com/ko/comic/szombie
사막화|늑대,|판타지,액션,|그녀,복수,아이,위기,여름,|억울하게 여동생을 잃은 시모닉은 복수를 위해 스스로 위험에 뛰어든다. 그러던 중 아이를 유괴당할 위기에 놓인 한 여인을 도와주고, 숨겨야만 했던 그녀의 정체를 알게 되는데... 악인이 지배하고 무법이 판치는 사막 여름대륙, 그곳에서 펼쳐지는 하드보일드 판타지! |레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/386/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/386/images/wide?width=1200|http://www.lezhin.com/ko/comic/d_flower
이별 리프|장대현,|로맨스,드라마,|추억,연애,여행,|6년 연애에 시들해진 장수 커플 현지와 지우는 계기 아닌 계기로 끝내 이별을 맞는다. 서로 첫 이별인지라 방법을 모르는 두 사람은 절친 하니의 도움으로 추억 속 프랑스로 이별여행을 떠나는데… 로 웹툰계에 굵은 흔적을 남긴 장대현 작가의 레진 첫 연재작은 로맨스!|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/4838202556284928/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/4838202556284928/images/wide?width=1200|http://www.lezhin.com/ko/comic/bye_leap
써커트릭|LIM,|판타지,|인간,죽음,| 죽음을 허용받지 못한 특별한 자들은 인간을 위해 존재하기로 한다. 우리는 그들을 '마술사' 라고 부르기로 했다. 막은 열렸고, 끝나기 까지 앞으로 몇 걸음. |레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/408/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/408/images/wide?width=1200|http://www.lezhin.com/ko/comic/surkertrick
무대에 촌극을 올리겠습니다.|장아찌,|드라마,|현실,감정,대한민국,대학,|'수능없이 가고싶은 대학을 고르기 위해 학급의 '감정 쓰레기통' 이 된 주인공 '지원.' 대한민국에서 고3이 된다는것은 감정 쓰레기통이 되는 것보다 잔혹한것 일까? 삭막하고 안타까운 수험생들의 현실을 날카로운 직관으로 담아낸 장아찌 작가의 강렬한 데뷔작.'|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/6304038115344384/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/6304038115344384/images/wide?width=1200|http://www.lezhin.com/ko/comic/stage
친구끼리 왜 이래?|AA MEDIA,|성인,|친구,신,|[릴레이 연재] 친구사이엔 벌어지면 안되는 일...이 벌어졌다?! 정신을 차렸을 땐 이미 달아올라버린 두 사람. 친구끼리 왜이래? 그럴 수도 있지!|레진코믹스|1|1|http://ncdn.lezhin.com/v2/comics/4801116596600832/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/4801116596600832/images/wide?width=1200|http://www.lezhin.com/ko/comic/friendswhy
505 생활만화|오배고,|일상,|엄마,생활,아빠,|아빠는 유쾌한 방귀쟁이, 엄마는 호전적 웃음쟁이! 오빠는... 그냥 못생겼습니다. 무서우리만치 자비심 없는 표현력, 누구나 따라할 수 있을 것 같은 만만한 그림체! 생활만화계의 이단아 오배고 작가의 회심의 데뷔작! 매주 목요일, 평일 아침 출근길의 씁쓸함을 달래보아요!|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/495/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/495/images/wide?width=1200|http://www.lezhin.com/ko/comic/505_livingtoon
요즘 요괴|이즐라,|개그,일상,|왕,|염라대왕의 실수로 죽어버린 여주인공. 그런데 저승사자의 조수를 하라고? 요괴가 되라... 그말인가?! 죽기 전날의 사람들을 만나 소원을 들어주고 성불(?)시키는 일을 맡게 되면서 벌어지는 이판사판 이승저승 이야기! [129페이지로 보내는 편지] 이즐라 작가, 여전한 큐트와 감성으로 오랜만에 컴백!|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/5716222617845760/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/5716222617845760/images/wide?width=1200|http://www.lezhin.com/ko/comic/yoyo
법칙과 순서의 세계|키키,파크,|미스터리,고어,|세계,신,생각,|무언가를 얻기 위해서는 무언가를 지불한다. 이것이 현대를 살아가는 사람의 상식. 그러나 당신이 당연하다고 생각하는 권리에 대한 댓가를 요구한다면? 숨 쉴 수 있는 권리를 얻기 위해 옆에 앉은 사람의 팔을 비틀어야 한다면? 무언가를 얻기 위해서는 '반드시' 무언가를 '바쳐야 한다.' 법칙과 순서가 지배하는 세계에 잘 오셨습니다.|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/23/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/23/images/wide?width=1200|http://www.lezhin.com/ko/comic/the_world
사설탐정 존토끼|권희윤,|개그,성인,|사건,수수께끼,|주니어는 왜 게이지? 누가 김착한을 죽인거지? 술값을 계산한 사람은 누구지...! 수수께끼 같은 사건이 나타났을 때 찾게 되는 - 샤프한 눈매, 핏한 슈트, 젠틀한 정장이 매력적인 그는 바로 사.설.탐.정 존.토.끼!!|레진코믹스|1|1|http://ncdn.lezhin.com/v2/comics/5515434363453440/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/5515434363453440/images/wide?width=1200|http://www.lezhin.com/ko/comic/sasultamjungjohntokki
엘에이 메이츠 L.A. Mates|이그램,|개그,일상,|꿈,코미디,스토리,|TV쇼 제작자를 꿈꾸며 LA로 이사 온 코믹북 너드 '네이트', 그의 룸메이트인 아랍계 미국인 '비제이', 미혼모 비정규직 근로자 '미카일라'의 일상을 그린 코미디. 할리우드 유명인사들의 출연, 미국 시트콤을 보는 것 같은 스토리텔링과 화면 캡쳐 방식을 선보인 국내 유일의 웹툰! 그리고 이 작품은 픽션입니다.|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/399/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/399/images/wide?width=1200|http://www.lezhin.com/ko/comic/la_mates
레바툰|레바,|개그,일상,||본격 나사 빠진 유해불건전장르불문개그만화.|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/260/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/260/images/wide?width=1200|http://www.lezhin.com/ko/comic/revatoon
레이디 가든|스튜디오 질풍,|성인,|사건,여성,위기,|UFC 데뷔전에서 예상치 않은 사건으로 퇴출당하고 만 강두는 20대의 여성들만 입주할수 있는 초 호화 맨션에서 살 수 있는 유일한 남성! 경비원으로 일을 하게 되는데.. 그의 트라우마가 폭발할 때 마다 위기의 여성들을 구한다?!|레진코믹스|1|1|http://ncdn.lezhin.com/v2/comics/5447179212161024/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/5447179212161024/images/wide?width=1200|http://www.lezhin.com/ko/comic/radygarden
너의 돈이 보여|민국23,S리아,|미스터리,로맨스,|꿈,남녀,|사람들이 가진, 그리고 가질 '돈'을 볼 수 있는 성춘, 다사다난했던 지난 날을 딛고 이제는 편히 살고 싶다. 일확천금의 꿈을 안고 그의 앞에 나타난 대기업 막내딸 지향을 붙잡지만···. 성춘을 바라보는 지향의 눈에 보이는 것은 다름 아닌 성춘의 돈?! 돈을 보는 두 남녀의 동상이몽 로맨스 [너의 돈이 보여] 시작합니다.|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/6732978288328704/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/6732978288328704/images/wide?width=1200|http://www.lezhin.com/ko/comic/moneylover
꿈속의 주인님|손희준,|성인,판타지,|소년,꿈,관계,|초보 '서큐버스' 릴루는 자각몽을 꾸는 소년 몽길의 강한 정기를 노리지만 '나이트메어' 아나인이 도중에 끼어들며 꿈속에서의 삼각관계 한판이 벌어진다!|레진코믹스|1|1|http://ncdn.lezhin.com/v2/comics/477/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/477/images/wide?width=1200|http://www.lezhin.com/ko/comic/masterofdream
아랫집 제빵사|갸가,|성인,BL,|남자,사실,|낯선 남자에게 내 모니터를 들켜버렸어! 옥탑방에 세들어 사는 BL 만화가 선화는 아랫집에 이사온 잘생긴 빵집 주인에게 정체(?)를 들키는데, 사실 그 제빵사의 정체는…!|레진코믹스|1|1|http://ncdn.lezhin.com/v2/comics/6659495843594240/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/6659495843594240/images/wide?width=1200|http://www.lezhin.com/ko/comic/baker
하루종일 조아영|김맹,|개그,일상,||201동 202호에는 무뚝뚝하지만 다정한 오빠와 언제나 해맑은 아영이가 삽니다. 귀여운 남매와 엉뚱한 이웃들의 유쾌한 하루하루! 오늘도 아영이와 [하루종일 조아영]♡|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/4537933260652544/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/4537933260652544/images/wide?width=1200|http://www.lezhin.com/ko/comic/joayoung
미지의 세계|이자혜,|일상,|세계,인간,신,여성,|독특한 정신세계를 표현한 인기작가 겸디갹의 정식 연재작품. 귀여운 미지에게서 발견하는 여성성과 인간미. |레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/283/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/283/images/wide?width=1200|http://www.lezhin.com/ko/comic/mijinosekai
꽃도사|고용호,김문경,|판타지,액션,|운명,소녀,|현세의 질서를 바로잡기 위해 요괴 퇴치를 하고 있는 까칠한 도사 천지율. 그는 여느때와 다름 없는 퇴마활동 중 무언가 특별한 것을 품고 있는 한 소녀를 만나게 된다. 요괴들은 그 소녀가 품고 있는 것을 탐내며 공격해 오고, 내키지는 않지만 어쩔 수 없이 천지율은 그 소녀의 보디가드 노릇을 하게 되는데… 과연 그들의 운명은?|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/5323593360080896/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/5323593360080896/images/wide?width=1200|http://www.lezhin.com/ko/comic/flowerwizard
애플 다이너마이트|콕,|로맨스,개그,|러브,코미디,|사과폭탄 같은 본격 러브 코미디. 이웃사촌 두 집 사이의 매력 만점 로맨스 시작!|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/155/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/155/images/wide?width=1200|http://www.lezhin.com/ko/comic/apple_dynamite
와해된 시선|루즌아,|일상,미스터리,|엄마,신,아빠,|어느 날 문을 연 동생의 방은 샛노란 벽에 기괴한 그림으로 가득차 있었다. 내 눈엔 제정신이 아닌 동생, 하지만 이 집에선 내가 비정상이다. 올 F에 자퇴한 남동생에게 기죽지 말라며 용돈을 쥐여주는 아빠, 정신 나간 그림을 보고 예술적 재능이라고 치켜세우는 엄마, 그리고 그들의 눈에 철저하게 배제된 나. 아슬하게 유지되던 일상은 결국 무너지기 시작한다.|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/4539920863985664/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/4539920863985664/images/wide?width=1200|http://www.lezhin.com/ko/comic/daheanddaun
나와 호랑이님|윤재호,카넬,|판타지,|결혼,미소녀,신,세상,소녀,동거,학생,|평범한 학생이었던 성훈은 어느날 자신이 환웅에게 선택받지 못한 호랑이 요괴와 결혼을 하지 않으면 온세상이 요괴로 덮히게 된다는 것을 듣게 되고.. 미소녀로 변한 호랑이와의 기묘한 동거가 시작된다.|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/277/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/277/images/wide?width=1200|http://www.lezhin.com/ko/comic/mylovetiger
내 집사는 비정규직|마사토끼,ASURA,|드라마,개그,|완벽,신,동거,|집사로서의 완벽한 길을 추구하는 엘리트 집사 유진 에반스. 하지만 영광스러워야 할 집사로의 첫걸음은 고용주의 야반도주로 엉망이 되고... 신세 사나운 집사와 눈매 사나운 아가씨, 팔자 사나운 메이드의 기묘한 동거가 시작된다.|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/5433266843156480/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/5433266843156480/images/wide?width=1200|http://www.lezhin.com/ko/comic/my_butler
환생고딩|감마,|학원,개그,|여고생,친구,그녀,우주,남녀,|2명의 남녀가 다시 태어났다. 같은 모습, 그리고 다른 성별로. 그 결과 여전히 험악한 인상의 여고생 '주인공', 그리고 그녀의 단짝 친구였던 청초한 남고생 '차우주'! 비록 몸은 엉망진창이 되었지만 학습의 의무를 다하기 위해 오늘도 등교합니다!|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/4615810042036224/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/4615810042036224/images/wide?width=1200|http://www.lezhin.com/ko/comic/rebirthchoo
데들리 키스|박만두,|개그,호러,|키스,친구,여자,남자,꽃,인간,현실,신,학교,|남자인데 너무 '예뻐서' 여자친구도 한번 사귀지 못한 은빈이는 우연히 마주친 학교 퀸카 여리 선배를 따라 사이비 종교 순결교에 들어가게 되는데..한편 여의도에 현실의 인간이라고는 믿기 힘든 미모의 꽃미남,꽃미녀들이 나타나 거리의 시민들에게 무작정 키스를 퍼붓기 시작하고 키스를 받은 사람들은 사지가 비틀리며 그들과 똑같은 꽃미남,꽃미녀로 변하기 시작한다. 신개념 꽃좀비 액션! |레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/29/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/29/images/wide?width=1200|http://www.lezhin.com/ko/comic/deadly_kiss
그녀의 암캐|피토,|백합,학원,|그녀,시절,|학창시절 동경하던 소하 선배를 위해 가윤은 그녀만이 할 수 있는 일을 선택했다. 그녀의 빈 곳을 채워주기 위한 가윤의 선택은 과연? 피토 작가의 2015년 새 야심작!|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/376/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/376/images/wide?width=1200|http://www.lezhin.com/ko/comic/her_dog
소라소라|모미,|로맨스,학원,|전설,사랑,짝사랑,감정,|뚱보 콤플렉스의 강소라는 전학 첫날부터 차갑고 잘생긴 동급생 백소라를 짝사랑하게 된다. 하지만 백소라는 어째서인지 강소라의 감정을 거부하는데… 낙담한 강소라의 발길이 닿은 곳은 소원을 들어준다는 전설의 벚나무 앞이었다.|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/6197498578468864/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/6197498578468864/images/wide?width=1200|http://www.lezhin.com/ko/comic/sorasora
노예|환상고래,|성인,미스터리,|그녀,남자,비밀,|상위 1%만의 비밀 노예 경매시장..그곳에 특별한 경매품으로 올라온 매력적인 일란성 쌍둥이 자매..그리고 그녀들을 낙찰 받은 한 남자로 인해..보다 자극적이게.. 보다 욕정적이게 변해가는 그녀들..그들만의 은밀한 유희.. ‘노예’|레진코믹스|1|1|http://ncdn.lezhin.com/v2/comics/4822845930078208/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/4822845930078208/images/wide?width=1200|http://www.lezhin.com/ko/comic/twinslaves
마왕을 죽이는 방법|한민기,|판타지,개그,|마을,과거,소년,싸움,아버지,왕,신,여행,|사제 지망생 아르하가 첫 신탁에서 마왕을 불러내버렸다! 마을은 쑥대밭이 돼버리고, 아르하의 할아버지이자 과거 대 사제였던 로이난은 싸움 끝에 마왕에게 저주를 걸어버리는데…! 절대 어울리지 않는 사제 지망생 소년과 마왕의 이상한 여행이 시작되었다. 한민기 작가의 신작!|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/5307743769985024/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/5307743769985024/images/wide?width=1200|http://www.lezhin.com/ko/comic/kill_dark
남자와 남자의 비밀|키몽,|BL,일상,|꿈,학교,대학,|동인 작가 피피님을 흠모하던 주인공 이서는 존잘님과 같은 학교를 다니고 싶단 일념하에 충동적으로 대학에 진학해버린다. 그렇게 만나기만을 고대하다 우연히 강의실에서 마주한 그분! 꿈에서 그리던 그분은 바로...!|레진코믹스|1|0|http://ncdn.lezhin.com/v2/comics/5195917103202304/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/5195917103202304/images/wide?width=1200|http://www.lezhin.com/ko/comic/secret_boys
세레나데|금계수,|백합,성인,|과거,운명,|어두운 과거를 숨긴 채 살아가는 음악 교수 서진과 그 과거의 한 조각인 제자 연주. 그리고 서진 교수에게 집착하는 또다른 제자 희은... 단순한 사제지간의 연이 아닌, 치열하고 각별한 이들의 운명은 어디서부터 잘못된 걸까? 서로의 욕망이 얽혀가며 빚어내는 숨 막히는 치정극.|레진코믹스|1|1|http://ncdn.lezhin.com/v2/comics/5038597127798784/images/thumbnail?width=250|http://ncdn.lezhin.com/v2/comics/5038597127798784/images/wide?width=1200|http://www.lezhin.com/ko/comic/serenade
